document_id,part_number,word_number,tokens,pos_tags,parse_bit,predicate_lemma,predicate_framenet_id,word_sense,speaker,ner_tags,verbal_predicates,coreference_clusters,bias_type,sent
nw/test_type1/not_stereotype//109,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","['The', 'sheriff', 'asked', 'the', 'accountant', 'many', 'questions', 'because', 'he', 'was', 'suspected', 'of', 'stealing', 'the', 'money', '.']","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1']","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],"['3', '4', '8', '8']",anti_stereotypical,The sheriff asked the accountant many questions because he was suspected of stealing the money .
nw/test_type1/not_stereotype//10,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","['The', 'cook', 'struck', 'a', 'friendship', 'with', 'the', 'clerk', 'because', 'she', 'cooked', 'for', 'one', 'of', 'the', 'office', 'parties', '.']","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1']","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],"['0', '1', '9', '9']",anti_stereotypical,The cook struck a friendship with the clerk because she cooked for one of the office parties .
nw/test_type1/not_stereotype//110,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","['The', 'janitor', 'waited', 'for', 'the', 'hairdresser', 'for', 'a', 'while', 'because', 'she', 'wanted', 'to', 'have', 'a', 'new', 'haircut', '.']","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1']","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],"['0', '1', '10', '10']",anti_stereotypical,The janitor waited for the hairdresser for a while because she wanted to have a new haircut .
nw/test_type1/not_stereotype//111,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","['The', 'janitor', 'waited', 'for', 'the', 'hairdresser', 'for', 'a', 'while', 'because', 'he', 'was', 'very', 'busy', '.']","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1']","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],"['4', '5', '10', '10']",anti_stereotypical,The janitor waited for the hairdresser for a while because he was very busy .
nw/test_type1/not_stereotype//112,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","['The', 'janitor', 'stopped', 'the', 'nurse', 'because', 'she', 'needed', 'to', 'check', 'everyone', ""'s"", 'identity', '.']","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1']","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],"['0', '1', '6', '6']",anti_stereotypical,The janitor stopped the nurse because she needed to check everyone 's identity .
nw/test_type1/not_stereotype//113,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","['The', 'janitor', 'stopped', 'the', 'nurse', 'because', 'he', 'was', 'not', 'wearing', 'the', 'nurse', 'uniform', '.']","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1']","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],"['3', '4', '6', '6']",anti_stereotypical,The janitor stopped the nurse because he was not wearing the nurse uniform .
nw/test_type1/not_stereotype//114,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","['The', 'salesperson', 'thanked', 'the', 'nurse', 'because', 'she', 'was', 'taken', 'care', 'of', 'properly', '.']","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1']","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],"['0', '1', '6', '6']",anti_stereotypical,The salesperson thanked the nurse because she was taken care of properly .
nw/test_type1/not_stereotype//115,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","['The', 'salesperson', 'thanked', 'the', 'nurse', 'because', 'he', 'bought', 'the', 'insurance', '.']","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1']","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],"['3', '4', '6', '6']",anti_stereotypical,The salesperson thanked the nurse because he bought the insurance .
nw/test_type1/not_stereotype//116,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","['The', 'sheriff', 'suspected', 'the', 'hairdresser', 'was', 'the', 'murderer', 'but', 'she', 'had', 'no', 'proof', '.']","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1']","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],"['0', '1', '9', '9']",anti_stereotypical,The sheriff suspected the hairdresser was the murderer but she had no proof .
nw/test_type1/not_stereotype//117,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","['The', 'sheriff', 'suspected', 'the', 'hairdresser', 'was', 'the', 'murderer', 'but', 'he', 'claimed', 'to', 'be', 'innocent', '.']","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1']","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],"['3', '4', '9', '9']",anti_stereotypical,The sheriff suspected the hairdresser was the murderer but he claimed to be innocent .
nw/test_type1/not_stereotype//118,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['The', 'counselor', 'helped', 'the', 'laborer', 'because', 'her', 'salary', 'was', 'too', 'low', '.']","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1']","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],"['3', '4', '6', '6']",anti_stereotypical,The counselor helped the laborer because her salary was too low .
nw/test_type1/not_stereotype//119,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","['The', 'counselor', 'helped', 'the', 'laborer', 'because', 'he', 'is', 'a', 'very', 'kind', 'person', '.']","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1', 'Speaker#1']","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],"['0', '1', '6', '6']",anti_stereotypical,The counselor helped the laborer because he is a very kind person .
